TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL;TRADINGSESSION
4332841989;01.09.2021;09:59:36;NLMK;TQBR;248.84;30;7465.2;;S;1
4332841990;01.09.2021;09:59:36;NLMK;TQBR;248.84;290;72163.6;;S;1
4332841991;01.09.2021;09:59:36;NLMK;TQBR;248.84;360;89582.4;;S;1
4332841992;01.09.2021;09:59:36;NLMK;TQBR;248.84;310;77140.4;;S;1
4332841993;01.09.2021;09:59:36;NLMK;TQBR;248.84;100;24884;;B;1
4332841994;01.09.2021;09:59:36;NLMK;TQBR;248.84;400;99536;;B;1
4332841995;01.09.2021;09:59:36;NLMK;TQBR;248.84;400;99536;;B;1
4332841996;01.09.2021;09:59:36;NLMK;TQBR;248.84;310;77140.4;;S;1
4332841997;01.09.2021;09:59:36;NLMK;TQBR;248.84;400;99536;;B;1
4332841998;01.09.2021;09:59:36;NLMK;TQBR;248.84;350;87094;;S;1
4332841999;01.09.2021;09:59:36;NLMK;TQBR;248.84;2040;507633.6;;S;1
4332842000;01.09.2021;09:59:36;NLMK;TQBR;248.84;400;99536;;S;1
4332842001;01.09.2021;09:59:36;NLMK;TQBR;248.84;2930;729101.2;;S;1
4332842002;01.09.2021;09:59:36;NLMK;TQBR;248.84;300;74652;;B;1
4332842003;01.09.2021;09:59:36;NLMK;TQBR;248.84;20;4976.8;;B;1
4332842004;01.09.2021;09:59:36;NLMK;TQBR;248.84;300;74652;;B;1
4332842005;01.09.2021;09:59:36;NLMK;TQBR;248.84;10;2488.4;;B;1
4332842006;01.09.2021;09:59:36;NLMK;TQBR;248.84;1000;248840;;B;1
4332842007;01.09.2021;09:59:36;NLMK;TQBR;248.84;10;2488.4;;B;1
4332842008;01.09.2021;09:59:36;NLMK;TQBR;248.84;730;181653.2;;B;1
4332842009;01.09.2021;09:59:36;NLMK;TQBR;248.84;100;24884;;B;1
4332842010;01.09.2021;09:59:36;NLMK;TQBR;248.84;10;2488.4;;B;1
4332842011;01.09.2021;09:59:36;NLMK;TQBR;248.84;800;199072;;B;1
4332842012;01.09.2021;09:59:36;NLMK;TQBR;248.84;10;2488.4;;B;1
4332842013;01.09.2021;09:59:36;NLMK;TQBR;248.84;1000;248840;;B;1
4332842014;01.09.2021;09:59:36;NLMK;TQBR;248.84;4000;995360;;B;1
4332842015;01.09.2021;09:59:36;NLMK;TQBR;248.84;4000;995360;;B;1
4332842016;01.09.2021;09:59:36;NLMK;TQBR;248.84;4000;995360;;B;1
4332842017;01.09.2021;09:59:36;NLMK;TQBR;248.84;1000;248840;;B;1
4332842018;01.09.2021;09:59:36;NLMK;TQBR;248.84;50;12442;;B;1
4332842019;01.09.2021;09:59:36;NLMK;TQBR;248.84;150;37326;;B;1
4332842020;01.09.2021;09:59:36;NLMK;TQBR;248.84;5000;1244200;;B;1
4332842021;01.09.2021;09:59:36;NLMK;TQBR;248.84;1000;248840;;B;1
4332842022;01.09.2021;09:59:36;NLMK;TQBR;248.84;100;24884;;B;1
4332842023;01.09.2021;09:59:36;NLMK;TQBR;248.84;3480;865963.2;;B;1
4332842024;01.09.2021;09:59:36;NLMK;TQBR;248.84;10;2488.4;;B;1
4332842025;01.09.2021;09:59:36;NLMK;TQBR;248.84;340;84605.6;;B;1
4332842026;01.09.2021;09:59:36;NLMK;TQBR;248.84;40;9953.6;;B;1
4332842029;01.09.2021;09:59:37;SBSP;TQTF;1771.4;1;1771.4;;S;1
4332842030;01.09.2021;09:59:37;SBSP;TQTF;1771.4;2;3542.8;;S;1
4332842031;01.09.2021;09:59:37;SBSP;TQTF;1771.4;1;1771.4;;S;1
4332842032;01.09.2021;09:59:37;TRUR;TQTF;6.18;2000;12360;;S;1
4332842033;01.09.2021;09:59:37;TRUR;TQTF;6.18;2000;12360;;S;1
4332842034;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842035;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842036;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842037;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842038;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842039;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842040;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842041;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842042;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842043;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842044;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842045;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842046;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842047;01.09.2021;09:59:37;TRUR;TQTF;6.18;1000;6180;;B;1
4332842048;01.09.2021;09:59:37;TRUR;TQTF;6.18;2000;12360;;S;1
4332842052;01.09.2021;09:59:37;BANEP;TQBR;1080.5;1;1080.5;;B;1
4332842053;01.09.2021;09:59:37;BANEP;TQBR;1080.5;1;1080.5;;S;1
4332842054;01.09.2021;09:59:37;BANEP;TQBR;1080.5;10;10805;;S;1
4332842055;01.09.2021;09:59:37;BANEP;TQBR;1080.5;5;5402.5;;S;1
4332842056;01.09.2021;09:59:37;BANEP;TQBR;1080.5;4;4322;;B;1
4332842057;01.09.2021;09:59:37;BANEP;TQBR;1080.5;50;54025;;B;1
